Measures;Mean;STD;Min;Inferior Quartile 25%;Median;Superior Quartile 75%;Max;Range
AD;0.106;0.002;0.101;0.105;0.107;0.108;0.111;0.01
FA;0.418;0.019;0.372;0.405;0.418;0.431;0.46;0.088
MD;0.072;0.002;0.068;0.07;0.072;0.074;0.075;0.007
RD;0.055;0.002;0.05;0.053;0.055;0.057;0.059;0.009
AD-FWcorrected;0.105;0.002;0.1;0.104;0.106;0.107;0.109;0.009
FA-FWcorrected;0.423;0.018;0.379;0.413;0.422;0.436;0.461;0.083
MD-FWcorrected;0.071;0.002;0.068;0.07;0.071;0.072;0.074;0.006
RD-FWcorrected;0.054;0.002;0.05;0.052;0.054;0.055;0.057;0.007
AFD_total;0.303;0.018;0.231;0.296;0.305;0.315;0.335;0.104
NuFO;2.224;0.079;1.938;2.189;2.225;2.269;2.418;0.481
FW;0.013;0.006;0.003;0.008;0.013;0.017;0.026;0.022
GFA;0.351;0.017;0.314;0.339;0.351;0.362;0.391;0.076
MTR;22.717;0.528;21.832;22.389;22.644;22.972;24.656;2.825
MTsat;3.615;0.142;3.152;3.516;3.611;3.689;3.981;0.829
ihMTR;8.229;0.49;6.338;7.914;8.151;8.54;9.622;3.283
ihMTsat;0.112;0.009;0.086;0.105;0.111;0.117;0.136;0.049
ECVF;0.392;0.029;0.335;0.367;0.395;0.414;0.452;0.117
ICVF;0.608;0.029;0.548;0.586;0.605;0.633;0.665;0.117
ISOVF;0.069;0.009;0.044;0.064;0.069;0.074;0.09;0.045
OD;0.253;0.013;0.225;0.244;0.25;0.259;0.284;0.059